datetime,Model: PPFD_Avg+AirTC_Avg+Sedge+VWC+Grass,Model: PPFD_Avg,Model: AirTC_Avg,Model: Sedge,Model: VWC,Model: Grass,Model: PPFD_Avg+Sedge,Model: AirTC_Avg+Sedge,Model: Sedge+VWC,Model: Sedge+Grass,Model: PPFD_Avg+Sedge+VWC,Model: AirTC_Avg+Sedge+VWC,Model: Sedge+VWC+Grass,Model: PPFD_Avg+Sedge+VWC+Grass,Model: AirTC_Avg+Sedge+VWC+Grass,BestModel: Sedge+VWC
2016-07-10 16:30:00,9.897464,12.544667,16.080421,5.8274655,12.9477825,7.2037153,9.234795,8.584249,6.3752666,5.426444,16.779127,5.8426175,6.048626,14.464754,8.787713,6.374907
2016-07-10 17:00:00,9.534095,12.327784,16.18661,5.8274655,12.9477825,7.2037153,9.0327635,8.646822,6.3752666,5.426444,16.555088,5.8568254,6.048626,14.201974,8.785819,6.374907
2016-07-10 17:30:00,5.13221,9.290325,16.09353,5.8274655,12.9477825,7.2037153,5.924245,8.591974,6.3752666,5.426444,12.168197,5.844372,6.048626,10.521728,8.78748,6.374907
2016-07-10 18:00:00,3.610467,7.7399497,15.493991,5.8274655,12.9477825,7.2037153,4.9700356,8.238677,6.3752666,5.426444,9.4751835,5.7641644,6.048626,8.706899,8.798174,6.374907
2016-07-10 18:30:00,7.4900794,10.862798,15.650431,5.8274655,12.9477825,7.2037153,7.6524105,8.330864,6.3752666,5.426444,14.76226,5.785094,6.048626,12.426969,8.7953825,6.374907
2016-07-10 19:00:00,6.1804075,10.085428,16.068186,5.8274655,12.9477825,7.2037153,6.8232307,8.577038,6.3752666,5.426444,13.549295,5.8409824,6.048626,11.485091,8.787931,6.374907
2016-07-10 19:30:00,5.1770205,9.206982,15.535068,5.8274655,12.9477825,7.2037153,5.8300123,8.262882,6.3752666,5.426444,12.023429,5.769659,6.048626,10.420748,8.79744,6.374907
2016-07-10 20:00:00,4.5689187,8.472988,14.784332,5.8274655,12.9477825,7.2037153,5.0396256,7.8204894,6.3752666,5.426444,10.748477,5.687271,6.048626,9.531426,8.639539,6.374907
2016-07-10 20:30:00,3.875709,7.810471,14.70655,5.8274655,12.9477825,7.2037153,4.9541817,7.7746534,6.3752666,5.426444,9.59768,5.685699,6.048626,8.780304,8.606232,6.374907
2016-07-10 21:00:00,3.1287065,7.209234,15.153583,5.8274655,12.9477825,7.2037153,5.087958,8.038081,6.3752666,5.426444,8.564047,5.7186246,6.048626,8.160907,8.797653,6.374907
2016-07-10 21:30:00,2.471785,6.952005,14.771572,5.8274655,12.9477825,7.2037153,5.2604585,7.8129706,6.3752666,5.426444,7.46184,5.687013,6.048626,7.3622155,8.634075,6.374907
2016-07-10 22:00:00,1.9619495,7.092815,14.520394,5.8274655,12.9477825,7.2037153,5.5662427,7.6649566,6.3752666,5.426444,6.8039436,5.6819353,6.048626,6.7390275,8.52652,6.374907
2016-07-10 22:30:00,1.5377065,7.0518785,14.089531,5.8274655,12.9477825,7.2037153,5.7056055,7.411057,6.3752666,5.426444,6.1679606,5.7439227,6.048626,6.0407467,8.342022,6.374907
2016-07-10 23:00:00,1.6946322,6.9664516,13.80724,6.027207,12.9477825,7.389699,5.9073396,7.6170144,7.3622556,6.2606406,6.260209,6.517054,6.9159985,6.3337297,9.111445,7.3619266
2016-07-10 23:30:00,1.4254986,6.897406,13.370257,5.999792,12.9477825,7.0154214,5.9688754,7.30841,7.226791,5.696259,5.71446,6.551489,6.782383,5.3279486,8.633364,7.226458
2016-07-11 00:00:00,1.3027889,6.884436,12.779457,5.972378,12.9477825,6.641144,6.002199,6.909165,7.091327,5.306467,5.267488,6.633786,6.648769,4.4446793,8.0894165,7.0909905
2016-07-11 00:30:00,1.2356673,6.8750734,12.394039,5.9449635,12.9477825,6.266866,6.019801,6.6309466,6.955863,5.2303023,4.924374,6.665472,6.515155,4.0083923,7.6334147,6.955521
2016-07-11 01:00:00,1.2979485,6.868403,11.928216,5.917549,12.9477825,5.892589,5.9887543,6.305348,6.8203993,5.2380404,4.658755,6.7236505,6.3815403,4.1131964,7.142984,6.820053
2016-07-11 01:30:00,1.2319666,6.8636785,11.728952,5.8901343,12.9477825,5.5441656,5.962884,6.136827,6.6849346,5.2546945,4.449147,6.694008,6.2479258,4.3974943,6.7666945,6.684585
2016-07-11 02:00:00,1.2595855,6.8608785,11.423064,5.86272,12.9477825,5.3670864,5.9441166,5.905475,6.549471,5.2713494,4.294941,6.6994934,6.217679,4.698732,6.3447485,6.549116
2016-07-11 02:30:00,1.1872779,6.8591895,11.317314,5.8353057,12.9477825,5.6523643,5.929451,5.7920604,6.414007,5.2880034,4.17272,6.6390433,6.206627,5.009751,6.0085025,6.4136486
2016-07-11 03:00:00,1.066199,6.8589296,11.638933,5.807891,12.9477825,6.1451426,5.9200616,5.930485,6.278543,5.300235,4.091645,6.4377956,6.1955743,5.3333488,5.877368,6.2781796
2016-07-11 03:30:00,1.3492376,6.859813,11.528813,5.7804766,12.9477825,6.8087816,5.9148927,5.8144946,6.1430793,5.371396,4.0434847,6.378785,6.1845226,5.6670117,6.0865836,6.1427116
2016-07-11 04:00:00,1.0158669,6.8607526,11.479872,5.779629,12.9477825,5.559199,5.918101,5.7840743,6.1388907,5.216655,4.0682635,6.391963,5.9311666,4.844391,5.9023685,6.1385236
2016-07-11 04:30:00,1.1003629,6.86358,11.448409,5.779553,12.9477825,5.5698853,5.928514,5.765392,6.1385145,5.217949,4.1494493,6.4020634,5.9341373,4.88016,5.883161,6.1381474
2016-07-11 05:00:00,1.4712316,6.872237,11.425687,5.7795,12.9477825,6.506333,5.89216,5.7519035,6.138254,5.0577703,4.3985147,6.409366,5.813073,3.4829903,6.6716905,6.137886
2016-07-11 05:30:00,1.7034627,6.8731914,11.402089,5.7795,12.9477825,7.8733697,5.888001,5.737998,6.138254,6.0559344,4.4259896,6.41714,5.870176,5.184901,7.6895213,6.137886
2016-07-11 06:00:00,1.5516368,6.8824067,11.383736,5.779516,12.9477825,5.8085027,5.847859,5.727212,6.1383324,5.1011877,4.6913066,6.423242,5.783992,4.1124997,6.316091,6.1379642
2016-07-11 06:30:00,2.6445866,6.8936887,11.500847,5.7799845,12.9477825,6.682687,5.7990913,5.797097,6.1406484,5.3514643,5.017347,6.386288,6.164944,5.948432,5.998512,6.1402807
2016-07-11 07:00:00,3.6854782,6.9744983,11.378492,5.780383,12.9477825,6.744424,5.6787634,5.725738,6.1426153,5.3613586,5.639409,6.4279823,6.1752267,6.279794,6.129208,6.1422486
2016-07-11 07:30:00,5.514239,7.019853,11.4842415,5.780781,12.9477825,6.806161,5.4082866,5.788796,6.144582,5.371252,6.918438,6.394527,6.185508,6.9212966,6.1136003,6.144215
2016-07-11 08:00:00,6.147912,6.9234095,11.6730175,5.7811785,12.9477825,6.867898,5.1936655,5.9007797,6.1465487,5.381146,7.4292817,6.3337173,6.1957903,7.2006145,6.044739,6.146181
2016-07-11 08:30:00,5.6534386,7.029121,11.279734,5.7815766,12.9477825,6.929635,5.4420466,5.6697674,6.148515,5.39104,6.8634667,6.4646697,6.2060714,6.9723077,6.349205,6.148148
2016-07-11 09:00:00,4.508669,6.9833236,10.574445,5.781975,12.9477825,6.991372,5.678365,5.254896,6.1504817,5.4009333,5.689549,6.4696307,6.2248516,6.457291,6.853789,6.1501145
2016-07-11 09:30:00,6.7669597,6.9891057,10.4014,5.782373,12.9477825,7.053156,5.299344,5.153666,6.152449,5.4108276,7.1121726,6.4591413,6.2503977,7.1664963,7.016997,6.152081
2016-07-11 10:00:00,6.828786,6.9911246,10.339348,5.782771,12.9477825,7.124451,5.306861,5.1178427,6.154415,5.420721,7.1008,6.456279,6.2759433,7.199598,7.109014,6.154048
2016-07-11 10:30:00,6.5649753,7.021945,10.206506,5.782077,12.9477825,6.9390106,5.416713,5.038267,6.1509852,5.3929205,6.909026,6.4447055,6.20958,6.999712,7.0463753,6.1506176
2016-07-11 11:00:00,6.7008934,6.96264,10.028216,5.780377,12.9477825,6.0273333,5.225001,4.9300375,6.142586,5.2660046,7.2698946,6.4888124,6.051282,6.516595,6.247303,6.1422195
2016-07-11 11:30:00,5.216227,7.1447134,9.773019,5.785357,12.9477825,5.3941507,5.5477333,4.7935715,6.1671953,5.200573,6.5386124,6.6376214,5.90316,5.4874797,5.4462233,6.166829
2016-07-11 12:00:00,4.832592,7.069163,9.540544,5.779539,12.9477825,6.0648327,5.5143466,4.715796,6.138445,5.06979,6.73104,6.741903,5.7947974,5.741196,5.736918,6.138078
2016-07-11 12:30:00,4.6648183,7.0813537,9.210286,5.7795014,12.9477825,6.707117,5.650584,4.8316402,6.138261,5.0757318,6.1923847,6.7911906,5.8214655,5.6337037,6.138133,6.137893
2016-07-11 13:00:00,4.8404193,7.074403,9.04331,5.7795,12.9477825,7.4116125,5.6566596,4.880552,6.138254,5.500051,6.1562576,6.809402,5.850888,6.202342,6.635143,6.137886
2016-07-11 13:30:00,5.6832404,6.9507446,9.004208,5.7795005,12.9477825,7.227109,5.209096,4.8920064,6.1382546,5.3357606,7.340838,6.8136683,5.843181,7.215908,6.484056,6.137887
2016-07-11 14:00:00,5.8649397,6.8253994,9.075014,5.7795,12.9477825,7.3326974,5.14335,4.871265,6.138254,5.4297814,7.6622014,6.805943,5.8475914,7.5824203,6.582753,6.137886
2016-07-11 14:30:00,5.767556,6.929086,9.032742,5.7795,12.9477825,7.780506,5.1945915,4.8836474,6.138254,5.9215093,7.411735,6.810554,5.8662972,7.6085486,6.914808,6.137886
2016-07-11 15:00:00,5.370814,7.0889363,8.791788,5.7795005,12.9477825,7.0744095,5.526157,4.954231,6.1382556,5.1997914,6.68432,6.8368406,5.836804,6.504218,6.313533,6.137888
2016-07-11 15:30:00,5.9038963,6.9647803,8.6110735,5.779501,12.9477825,7.0100694,5.2267904,5.007168,6.1382575,5.142501,7.2543526,6.8565564,5.8341184,7.0063353,6.218646,6.137891
2016-07-11 16:00:00,5.8754873,6.9882627,8.543437,5.779501,12.9477825,7.214801,5.2942486,5.0269804,6.1382565,5.324802,7.1096587,6.863935,5.842669,6.989687,6.3582535,6.1378903
2016-07-11 16:30:00,5.8470798,7.0117445,8.475801,5.7795005,12.9477825,7.4195313,5.3783283,5.046793,6.1382556,5.507103,6.9649644,6.871311,5.8512197,6.97304,6.497861,6.137888
2016-07-11 17:00:00,5.8186703,7.035227,8.408165,5.7795,12.9477825,7.6242633,5.462407,5.0666056,6.138254,5.6953397,6.8202696,6.8786893,5.8597703,6.956393,6.637467,6.137886
2016-07-11 17:30:00,5.840795,7.032551,8.369062,5.7795,12.9477825,7.4321756,5.4528265,5.0780597,6.138254,5.518361,6.8367577,6.8829556,5.851747,6.859034,6.4805765,6.137886
2016-07-11 18:00:00,5.466387,7.072932,8.236961,5.7795,12.9477825,7.496927,5.6569753,5.116756,6.138254,5.576018,6.1486135,6.897366,5.854451,6.245278,6.4967675,6.137886
2016-07-11 18:30:00,5.3305016,7.039967,8.195745,5.7795,12.914686,7.1898117,5.6640515,5.1288295,6.0829444,5.30255,5.955351,6.874002,5.807057,5.770246,6.231791,6.0825787
